sample_name	amoxicillin	ampicillin	ceftriaxone	ciprofloxacin	gentamicin	levofloxacin	tetracycline	tobramycin
562.65713	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65727	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65726	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65725	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65724	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65723	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65722	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65712	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65721	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65719	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65718	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65717	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65716	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65715	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65714	NA	susceptible	NA	NA	NA	NA	NA	NA
562.6572	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65694	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65693	NA	resistant	NA	NA	NA	NA	NA	NA
562.65692	NA	resistant	NA	NA	NA	NA	NA	NA
562.65672	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65671	resistant	resistant	NA	NA	NA	NA	NA	NA
562.6567	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65669	NA	resistant	NA	NA	NA	NA	NA	NA
562.65668	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65667	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65673	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65666	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65664	NA	resistant	NA	NA	NA	NA	NA	NA
562.65663	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65662	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65661	NA	resistant	NA	NA	NA	NA	NA	NA
562.6566	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65659	NA	susceptible	NA	NA	NA	NA	NA	NA
