sample_name	cleaned_host
SRR29694551	cattle
SRR29694552	cattle
SRR29694553	cattle
SRR29694554	cattle
SRR29694555	cattle
SRR29694556	cattle
SRR29694557	cattle
SRR29694558	cattle
SRR29694559	cattle
SRR29694560	cattle
SRR29694561	cattle
SRR29694562	cattle
SRR29694563	cattle
SRR29694564	cattle
SRR29694565	cattle
SRR29694566	cattle
SRR29694567	cattle
SRR29694568	cattle
SRR29694569	cattle
SRR29694570	cattle
SRR29694571	cattle
SRR29694572	cattle
SRR29694573	cattle
SRR29694574	cattle
SRR29694575	cattle
SRR29694576	cattle
SRR29694577	cattle
SRR29694578	cattle
SRR29694579	cattle
SRR29694580	cattle
SRR29694581	cattle
SRR29694582	cattle
SRR29694583	cattle
SRR29694584	cattle
SRR29694585	cattle
SRR29694586	cattle
SRR29694587	cattle
SRR29694588	cattle
SRR29694589	cattle
SRR29694590	cattle
SRR29694591	cattle
SRR29740674	cattle
SRR29740675	cattle
SRR29740676	cattle
SRR29740677	cattle
SRR29740678	cattle
SRR29740679	cattle
SRR29740680	cattle
SRR29740681	cattle
SRR29740682	cattle
SRR29740683	cattle
SRR29740684	turkey
SRR29740686	turkey
SRR29740687	turkey
SRR29740688	turkey
SRR29740690	chicken
SRR29740691	chicken
SRR29740692	chicken
SRR29740693	chicken
SRR29740695	cattle
SRR29740696	cattle
SRR29740699	cattle
SRR29740700	cattle
SRR29740701	cattle
SRR29740702	cattle
SRR29740703	cattle
SRR29740704	cattle
SRR29740705	cattle
SRR29740707	cattle
SRR29740708	cattle
SRR29740709	cattle
SRR29740710	cattle
SRR29740712	cattle
SRR29740713	cattle
SRR29740714	cattle
SRR29740716	cattle
SRR29740717	cattle
SRR29740721	cattle
SRR29740725	cattle
SRR29740727	cattle
SRR29740731	cattle
SRR29740732	cattle
SRR29740733	cattle
SRR29740734	chicken
SRR29740735	turkey
SRR29740737	turkey
SRR29740738	cattle
SRR29740739	cattle
SRR29740740	cattle
SRR29740741	cattle
SRR29740745	cattle
SRR29740746	cattle
SRR29740748	cattle
SRR29740750	cattle
SRR29740751	cattle
SRR29740752	cattle
